sample	chemistry	basecaller	folder
HG02645	R9	dorado_mid	HG02645-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG02646	R9	dorado_mid	HG02646-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG02675	R9	dorado_mid	HG02675-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG02694	R9	guppy	HG02694-ONT-hg38-R9-LSK110-guppy-sup-5hmc_5mc_cg
HG02731	R9	guppy	HG02731-ONT-hg38-R9-LSK110-guppy-sup-5hmc_5mc_cg
HG02759	R9	dorado_mid	HG02759-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG02763	R10	dorado_late	HG02763-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG
HG02772	R10	dorado_late	HG02772-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG
HG02780	R10	dorado_late	HG02780-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG02798	R9	dorado_late	HG02798-ONT-hg38-R9-LSK110-dorado082_sup_5mCG_v33
HG02808	R9	dorado_late	HG02808-ONT-hg38-R9-LSK110-dorado082_sup_5mCG_v33
HG02810	R10	dorado_late	HG02810-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG_v500
HG02811	R9	dorado_mid	HG02811-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG02816	R9	dorado_late	HG02816-ONT-hg38-R9-LSK110-dorado082_sup_5mCG_v33
HG02817	R9	guppy	HG02817-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG02819	R10	dorado_late	HG02819-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG02820	R9	dorado_mid	HG02820-ONT-hg38-R9-LSK110_dorado050_sup_5mCG
HG02837	R10	dorado_late	HG02837-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG
HG02840	R10	dorado_late	HG02840-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG02852	R10	dorado_late	HG02852-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG_v500
HG02854	R10	dorado_late	HG02854-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG
HG02860	R10	dorado_late	HG02860-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG02861	R10	dorado_late	HG02861-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG
HG02884	R10	dorado_late	HG02884-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG
HG02885	R10	dorado_late	HG02885-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG
HG02887	R10	dorado_late	HG02887-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG
HG02891	R10	dorado_late	HG02891-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG
HG02923	R9	dorado_late	HG02923-ONT-hg38-R9-LSK110-dorado082_sup_5mCG_v33
HG02952	R10	dorado_late	HG02952-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG
HG02968	R10	dorado_late	HG02968-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG
HG02973	R9	dorado_late	HG02973-ONT-hg38-R9-LSK110-dorado082_sup_5mCG_v33
HG02974	R9	guppy	HG02974-ONT-hg38-R9-LSK110-guppy-sup-5hmc_5mc_cg
HG02977	R10	dorado_late	HG02977-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG
HG02979	R9	guppy	HG02979-ONT-hg38-R9-LSK110-guppy-sup-5hmc_5mc_cg
HG02981	R9	dorado_mid	HG02981-ONT-hg38-R9-LSK110-dorado034_sup_5mCG_5hmCG_v33
HG03009	R10	dorado_late	HG03009-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG03018	R10	dorado_late	HG03018-ONT-hg38-LSK114-R10-dorado081_sup_5mCG_5hmCG_v500
HG03022	R9	guppy	HG03022-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG03027	R10	dorado_late	HG03027-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG03045	R10	dorado_late	HG03045-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG03055	R10	dorado_late	HG03055-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG03057	R9	dorado_mid	HG03057-ONT-hg38-R9-LSK110-dorado050_sup_with5mC
HG03064	R9	guppy	HG03064-ONT-hg38-R9-LSK110-guppy637_sup_5mC_5hmC
HG03066	R10	dorado_late	HG03066-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG03069	R9	guppy	HG03069-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG03072	R9	dorado_late	HG03072-ONT-hg38-R9-LSK110-dorado082_sup_5mCG_v33
HG03079	R10	dorado_late	HG03079-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG03084	R9	dorado_mid	HG03084-ONT-hg38-R9-LSK110_dorado050_sup_5mCG
HG03086	R9	dorado_mid	HG03086-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG03099	R10	dorado_late	HG03099-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG03118	R10	dorado_late	HG03118-ONT-hg38-R10-LSK114_dorado081_sup_5mCG_5hmCG_v500
HG03120	R9	guppy	HG03120-ONT-hg38-R9-LSK110-guppy-sup-5hmc_5mc_cg
HG03121	R9	guppy	HG03121-ONT-hg38-R9-LSK110-guppy-sup-5hmc_5mc_cg
HG03123	R10	dorado_late	HG03123-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG03129	R10	dorado_late	HG03129-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG03157	R10	dorado_late	HG03157-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG03160	R10	dorado_late	HG03160-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG
HG03166	R10	dorado_late	HG03166-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG
HG03168	R9	guppy	HG03168-ONT-hg38-R9-LSK110-guppy-sup-5hmc_5mc_cg
HG03169	R9	dorado_late	HG03169-ONT-hg38-R9-LSK110-dorado096_sup_5mCG_v01
HG03196	R9	dorado_mid	HG03196-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG03212	R9	guppy	HG03212-ONT-hg38-R9-LSK110-guppy657_sup_with5mC_5hmC
HG03224	R10	dorado_late	HG03224-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG03279	R9	guppy	HG03279-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG03280	R9	dorado_mid	HG03280-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG03297	R9	dorado_late	HG03297-ONT-hg38-R9-LSK110-dorado082_sup_5mCG
HG03298	R9	dorado_mid	HG03298-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG03351	R9	dorado_late	HG03351-ONT-hg38-R9-LSK110-dorado082_sup_5mCG
HG03352	R10	dorado_late	HG03352-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG
HG03354	R9	guppy	HG03354-ONT-hg38-R9-LSK110-guppy637_sup_5mC_5hmC
HG03366	R9	dorado_mid	HG03366-ONT-hg38-R9-LSK110-dorado034_sup_5mCG_5hmCG_v33
HG03367	R10	dorado_late	HG03367-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG
HG03369	R9	guppy	HG03369-ONT-hg38-R9-LSK110-guppy657_sup_5mC_5hmC
HG03370	R9	guppy	HG03370-ONT-hg38-R9-LSK110-guppy657_sup_5mC_5hmC
HG03376	R9	dorado_late	HG03376-ONT-hg38-R9-LSK110-dorado082_sup_5mCG_v33
HG03378	R9	dorado_late	HG03378-ONT-hg38-R9-LSK110-dorado082_sup_5mCG_v33
HG03382	R10	dorado_late	HG03382-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG03385	R10	dorado_late	HG03385-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG03391	R9	guppy	HG03391-ONT-hg38-R9-LSK110-guppy657_sup_5mC_5hmC
HG03401	R9	dorado_mid	HG03401-ONT-hg38-R9-LSK110-dorado034_sup_5mCG_5hmCG_v33
HG03433	R10	dorado_late	HG03433-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG_v500
HG03436	R10	dorado_late	HG03436-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG
HG03437	R9	guppy	HG03437-ONT-hg38-R9-LSK110-guppy657_sup_with5mC_5hmC
HG03445	R9	guppy	HG03445-ONT-hg38-R9-LSK110-guppy657_sup_with5mC_5hmC
HG03460	R9	dorado_mid	HG03460-ONT-hg38-R9-LSK110-dorado050_sup_with5mC
HG03464	R10	dorado_late	HG03464-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG03472	R10	dorado_late	HG03472-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG03478	R10	dorado_late	HG03478-ONT-hg38-R10-LSK114_dorado081_sup_5mCG_5hmCG_v500
HG03479	R9	dorado_mid	HG03479-ONT-hg38-R9-LSK110-dorado034_sup_5mCG_5hmCG_v33
HG03499	R9	guppy	HG03499-ONT-hg38-R9-LSK110-guppy-sup-5hmc_5mc_cg
HG03514	R10	dorado_late	HG03514-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG03538	R10	dorado_late	HG03538-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG03548	R9	guppy	HG03548-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG03557	R9	dorado_late	HG03557-ONT-hg38-R9-LSK110-dorado082_sup_5mCG_v33
HG03563	R9	guppy	HG03563-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG03571	R9	guppy	HG03571-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG03572	R9	guppy	HG03572-ONT-hg38-R9-LSK110-guppy657_sup_with5mC_5hmC
HG03575	R10	dorado_late	HG03575-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG
HG03583	R10	dorado_late	HG03583-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG
HG03603	R10	dorado_late	HG03603-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG03611	R9	dorado_mid	HG03611-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG03616	R9	dorado_mid	HG03616-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG03629	R10	dorado_late	HG03629-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG
HG03631	R9	guppy	HG03631-ONT-hg38-R9-LSK110-guppy-sup-5hmc_5mc_cg
HG03643	R9	guppy	HG03643-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG03646	R9	guppy	HG03646-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG03663	R10	dorado_late	HG03663-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG_v500
HG03667	R10	dorado_late	HG03667-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG03668	R9	guppy	HG03668-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG03680	R10	dorado_late	HG03680-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG03685	R10	dorado_late	HG03685-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG03692	R9	dorado_mid	HG03692-ONT-hg38-R9-LSK110-dorado034_sup_5mCG_5hmCG_v33
HG03693	R10	dorado_late	HG03693-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG03694	R10	dorado_late	HG03694-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG
HG03698	R10	dorado_late	HG03698-ONT-hg38-R10-LSK114-dorado096_sup_5mCG_5hmCG_v500
HG03717	R9	guppy	HG03717-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG03720	R10	dorado_late	HG03720-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG03731	R9	guppy	HG03731-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG03733	R10	dorado_late	HG03733-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG_v500
HG03736	R9	dorado_mid	HG03736-ONT-hg38-R9-LSK110-dorado034_sup_5mCG_5hmCG_v33
HG03743	R10	dorado_late	HG03743-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG
HG03744	R9	guppy	HG03744-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG03745	R10	dorado_late	HG03745-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG
HG03752	R10	dorado_late	HG03752-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG
HG03755	R10	dorado_late	HG03755-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG
HG03757	R10	dorado_late	HG03757-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG03770	R9	guppy	HG03770-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG03772	R10	dorado_late	HG03772-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG
HG03774	R9	guppy	HG03774-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG03779	R10	dorado_late	HG03779-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG_v500
HG03787	R10	dorado_late	HG03787-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG
HG03788	R10	dorado_late	HG03788-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG03808	R10	dorado_late	HG03808-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG03814	R9	guppy	HG03814-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG03815	R10	dorado_late	HG03815-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG03826	R9	dorado_mid	HG03826-ONT-hg38-R9-LSK110-dorado034_sup_5mCG_5hmCG_v33
HG03849	R10	dorado_late	HG03849-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG03851	R10	dorado_late	HG03851-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG03857	R9	dorado_mid	HG03857-ONT-hg38-R9-LSK110-dorado034_sup_5mCG_5hmCG_v33
HG03858	R9	guppy	HG03858-ONT-hg38-R9-LSK110-guppy657_sup_with5mC_5hmC
HG03861	R9	guppy	HG03861-ONT-hg38-R9-LSK110-guppy-sup-5hmc_5mc_cg
HG03864	R9	guppy	HG03864-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG03866	R10	dorado_late	HG03866-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG03868	R9	guppy	HG03868-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG03875	R10	dorado_late	HG03875-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG_v500
HG03884	R10	dorado_late	HG03884-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG03887	R10	dorado_late	HG03887-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG03897	R9	dorado_mid	HG03897-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG03898	R9	guppy	HG03898-ONT-hg38-R9-LSK110-guppy-sup-5hmc_5mc_cg
HG03902	R10	dorado_late	HG03902-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG03910	R9	guppy	HG03910-ONT-hg38-R9-LSK110-guppy637_sup_5mC_5hmC
HG03911	R10	dorado_late	HG03911-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG03919	R9	guppy	HG03919-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG03920	R10	dorado_late	HG03920-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG03934	R9	dorado_mid	HG03934-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG03945	R10	dorado_late	HG03945-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG03953	R10	dorado_late	HG03953-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG03960	R10	dorado_late	HG03960-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG03971	R9	guppy	HG03971-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG03989	R9	dorado_mid	HG03989-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG03991	R10	dorado_late	HG03991-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG03995	R9	dorado_mid	HG03995-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG03998	R10	dorado_late	HG03998-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG_v500
HG04001	R10	dorado_late	HG04001-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG04002	R10	dorado_late	HG04002-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG04019	R10	dorado_late	HG04019-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG04026	R10	dorado_late	HG04026-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG04033	R10	dorado_late	HG04033-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG_v500
HG04038	R10	dorado_late	HG04038-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG04047	R10	dorado_late	HG04047-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG
HG04054	R9	guppy	HG04054-ONT-hg38-R9-LSK110-guppy-sup-5hmc_5mc_cg
HG04056	R10	dorado_late	HG04056-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG_v500
HG04061	R10	dorado_late	HG04061-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG
HG04063	R9	guppy	HG04063-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG04076	R10	dorado_late	HG04076-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG
HG04094	R10	dorado_late	HG04094-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG_v500
HG04107	R10	dorado_late	HG04107-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG04153	R9	dorado_mid	HG04153-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG04161	R10	dorado_late	HG04161-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG04164	R10	dorado_late	HG04164-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG04171	R9	dorado_mid	HG04171-ONT-hg38-R9-LSK110-dorado050_sup_with5mC
HG04176	R10	dorado_late	HG04176-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG_v500
HG04189	R9	dorado_mid	HG04189-ONT-hg38-R9-LSK110-dorado034_sup_5mCG_5hmCG_v33
HG04202	R10	dorado_late	HG04202-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG04209	R10	dorado_late	HG04209-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG04211	R10	dorado_late	HG04211-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG04212	R10	dorado_late	HG04212-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG04214	R10	dorado_late	HG04214-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG04216	R9	guppy	HG04216-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG04235	R10	dorado_late	HG04235-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG04239	R10	dorado_late	HG04239-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
